Year,League,Player,Team,Stolen Bases
1886,NL,Ed Andrews,PHILADELPHIA,56.0
1887,NL,John Ward,NEW YORK,111.0
1888,NL,Dummy Hoy,WASHINGTON,82.0
1889,NL,Jim Fogarty,PHILADELPHIA,99.0
1890,NL,Billy Hamilton,PHILADELPHIA,102.0
1891,NL,Billy Hamilton,PHILADELPHIA,111.0
1892,NL,John Ward,BROOKLYN,88.0
1893,NL,Tom Brown,LOUISVILLE,66.0
1894,NL,Billy Hamilton,PHILADELPHIA,98.0
1895,NL,Billy Hamilton,PHILADELPHIA,97.0
1896,NL,Joe Kelley,BALTIMORE,87.0
1897,NL,Bill Lange,CHICAGO,73.0
1898,NL,Ed Delahanty,PHILADELPHIA,58.0
1899,NL,Jimmy Sheckard,BALTIMORE,77.0
1900,NL,Patsy Donovan,ST. LOUIS,45.0
1901,AL,Frank Isbell,CHICAGO,52.0
1901,NL,Honus Wagner,PITTSBURGH,49.0
1902,AL,Topsy Hartsel,PHILADELPHIA,47.0
1902,NL,Honus Wagner,PITTSBURGH,42.0
1903,AL,Harry Bay,CLEVELAND,45.0
1903,NL,Frank Chance,CHICAGO,67.0
1904,AL,Harry Bay,CLEVELAND,38.0
1904,NL,Honus Wagner,PITTSBURGH,53.0
1905,AL,Danny Hoffman,PHILADELPHIA,46.0
1905,NL,Art Devlin,NEW YORK,59.0
1906,AL,John Anderson,WASHINGTON,39.0
1906,NL,Frank Chance,CHICAGO,57.0
1907,AL,Ty Cobb,DETROIT,49.0
1907,NL,Honus Wagner,PITTSBURGH,61.0
1908,AL,Patsy Dougherty,CHICAGO,47.0
1908,NL,Honus Wagner,PITTSBURGH,53.0
1909,AL,Ty Cobb,DETROIT,76.0
1909,NL,Bob Bescher,CINCINNATI,54.0
1910,AL,Eddie Collins,PHILADELPHIA,81.0
1910,NL,Bob Bescher,CINCINNATI,70.0
1911,AL,Ty Cobb,DETROIT,83.0
1911,NL,Bob Bescher,CINCINNATI,80.0
1912,AL,Clyde Milan,WASHINGTON,88.0
1912,NL,Bob Bescher,CINCINNATI,67.0
1913,AL,Clyde Milan,WASHINGTON,75.0
1913,NL,Max Carey,PITTSBURGH,61.0
1914,AL,Fritz Maisel,NEW YORK,74.0
1914,NL,George Burns,NEW YORK,62.0
1915,AL,Ty Cobb,DETROIT,96.0
1915,NL,Max Carey,PITTSBURGH,36.0
1916,AL,Ty Cobb,DETROIT,68.0
1916,NL,Max Carey,PITTSBURGH,63.0
1917,AL,Ty Cobb,DETROIT,55.0
1917,NL,Max Carey,PITTSBURGH,46.0
1918,AL,George Sisler,ST. LOUIS,45.0
1918,NL,Max Carey,PITTSBURGH,58.0
1919,AL,Eddie Collins,CHICAGO,33.0
1919,NL,George Burns,NEW YORK,40.0
1920,AL,Sam Rice,WASHINGTON,63.0
1920,NL,Max Carey,PITTSBURGH,52.0
1921,AL,George Sisler,ST. LOUIS,35.0
1921,NL,Frankie Frisch,NEW YORK,49.0
1922,AL,George Sisler,ST. LOUIS,51.0
1922,NL,Max Carey,PITTSBURGH,51.0
1923,AL,Eddie Collins,CHICAGO,48.0
1923,NL,Max Carey,PITTSBURGH,51.0
1924,AL,Eddie Collins,CHICAGO,42.0
1924,NL,Max Carey,PITTSBURGH,49.0
1925,AL,Johnny Mostil,CHICAGO,43.0
1925,NL,Max Carey,PITTSBURGH,46.0
1926,AL,Johnny Mostil,CHICAGO,35.0
1926,NL,Kiki Cuyler,PITTSBURGH,35.0
1927,AL,George Sisler,ST. LOUIS,27.0
1927,NL,Frankie Frisch,ST. LOUIS,48.0
1928,AL,Buddy Myer,BOSTON,30.0
1928,NL,Kiki Cuyler,CHICAGO,37.0
1929,AL,Charlie Gehringer,DETROIT,27.0
1929,NL,Kiki Cuyler,CHICAGO,43.0
1930,AL,Marty McManus,DETROIT,23.0
1930,NL,Kiki Cuyler,CHICAGO,37.0
1931,AL,Ben Chapman,NEW YORK,61.0
1931,NL,Frankie Frisch,ST. LOUIS,28.0
1932,AL,Ben Chapman,NEW YORK,38.0
1932,NL,Chuck Klein,PHILADELPHIA,20.0
1933,AL,Ben Chapman,NEW YORK,27.0
1933,NL,Pepper Martin,ST. LOUIS,26.0
1934,AL,Billy Werber,BOSTON,40.0
1934,NL,Pepper Martin,ST. LOUIS,23.0
1935,AL,Billy Werber,BOSTON,29.0
1935,NL,Augie Galan,CHICAGO,22.0
1936,AL,Lyn Lary,ST. LOUIS,37.0
1936,NL,Pepper Martin,ST. LOUIS,23.0
1937,AL,Ben Chapman,BOSTON,35.0
1937,NL,Augie Galan,CHICAGO,23.0
1938,AL,Frankie Crosetti,NEW YORK,27.0
1938,NL,Stan Hack,CHICAGO,16.0
1939,AL,George Case,WASHINGTON,51.0
1939,NL,Stan Hack,CHICAGO,17.0
1940,AL,George Case,WASHINGTON,35.0
1940,NL,Lonny Frey,CINCINNATI,22.0
1941,AL,George Case,WASHINGTON,33.0
1941,NL,Danny Murtaugh,PHILADELPHIA,18.0
1942,AL,George Case,WASHINGTON,44.0
1942,NL,Pete Reiser,BROOKLYN,20.0
1943,AL,George Case,WASHINGTON,61.0
1943,NL,Arky Vaughan,BROOKLYN,20.0
1944,AL,Snuffy Stirnweiss,NEW YORK,55.0
1944,NL,Johnny Barrett,PITTSBURGH,28.0
1945,AL,Snuffy Stirnweiss,NEW YORK,33.0
1945,NL,Red Schoendienst,ST. LOUIS,26.0
1946,AL,George Case,CLEVELAND,28.0
1946,NL,Pete Reiser,BROOKLYN,34.0
1947,AL,Bob Dillinger,ST. LOUIS,34.0
1947,NL,Jackie Robinson,BROOKLYN,29.0
1948,AL,Bob Dillinger,ST. LOUIS,28.0
1948,NL,Richie Ashburn,PHILADELPHIA,32.0
1949,AL,Bob Dillinger,ST. LOUIS,20.0
1949,NL,Jackie Robinson,BROOKLYN,37.0
1950,AL,Dom DiMaggio,BOSTON,15.0
1950,NL,Sam Jethroe,BOSTON,35.0
1951,AL,Minnie Minoso,CHICAGO,31.0
1951,NL,Sam Jethroe,BOSTON,35.0
1952,AL,Minnie Minoso,CHICAGO,22.0
1952,NL,Pee Wee Reese,BROOKLYN,30.0
1953,AL,Minnie Minoso,CHICAGO,25.0
1953,NL,Bill Bruton,MILWAUKEE,26.0
1954,AL,Jackie Jensen,BOSTON,22.0
1954,NL,Bill Bruton,MILWAUKEE,34.0
1955,AL,Jim Rivera,CHICAGO,25.0
1955,NL,Bill Bruton,MILWAUKEE,25.0
1956,AL,Luis Aparicio,CHICAGO,21.0
1956,NL,Willie Mays,NEW YORK,40.0
1957,AL,Luis Aparicio,CHICAGO,28.0
1957,NL,Willie Mays,NEW YORK,38.0
1958,AL,Luis Aparicio,CHICAGO,29.0
1958,NL,Willie Mays,SAN FRANCISCO,31.0
1959,AL,Luis Aparicio,CHICAGO,56.0
1959,NL,Willie Mays,SAN FRANCISCO,27.0
1960,AL,Luis Aparicio,CHICAGO,51.0
1960,NL,Maury Wills,LOS ANGELES,50.0
1961,AL,Luis Aparicio,CHICAGO,53.0
1961,NL,Maury Wills,LOS ANGELES,35.0
1962,AL,Luis Aparicio,CHICAGO,31.0
1962,NL,Maury Wills,LOS ANGELES,104.0
1963,AL,Luis Aparicio,BALTIMORE,40.0
1963,NL,Maury Wills,LOS ANGELES,40.0
1964,AL,Luis Aparicio,BALTIMORE,57.0
1964,NL,Maury Wills,LOS ANGELES,53.0
1965,AL,Bert Campaneris,KANSAS CITY,51.0
1965,NL,Maury Wills,LOS ANGELES,94.0
1966,AL,Bert Campaneris,KANSAS CITY,52.0
1966,NL,Lou Brock,ST. LOUIS,74.0
1967,AL,Bert Campaneris,KANSAS CITY,55.0
1967,NL,Lou Brock,ST. LOUIS,52.0
1968,AL,Bert Campaneris,OAKLAND,62.0
1968,NL,Lou Brock,ST. LOUIS,62.0
1969,AL,Tommy Harper,SEATTLE,73.0
1969,NL,Lou Brock,ST. LOUIS,53.0
1970,AL,Bert Campaneris,OAKLAND,42.0
1970,NL,Bobby Tolan,CINCINNATI,57.0
1971,AL,Amos Otis,KANSAS CITY,52.0
1971,NL,Lou Brock,ST. LOUIS,64.0
1972,AL,Bert Campaneris,OAKLAND,52.0
1972,NL,Lou Brock,ST. LOUIS,63.0
1973,AL,Tommy Harper,BOSTON,54.0
1973,NL,Lou Brock,ST. LOUIS,70.0
1974,AL,Bill North,OAKLAND,54.0
1974,NL,Lou Brock,ST. LOUIS,118.0
1975,AL,Mickey Rivers,CALIFORNIA,70.0
1975,NL,Davey Lopes,LOS ANGELES,77.0
1976,AL,Bill North,OAKLAND,75.0
1976,NL,Davey Lopes,LOS ANGELES,63.0
1977,AL,Freddie Patek,KANSAS CITY,53.0
1977,NL,Frank Taveras,PITTSBURGH,70.0
1978,AL,Ron LeFlore,DETROIT,68.0
1978,NL,Omar Moreno,PITTSBURGH,71.0
1979,AL,Willie Wilson,KANSAS CITY,83.0
1979,NL,Omar Moreno,PITTSBURGH,77.0
1980,AL,Rickey Henderson,OAKLAND,100.0
1980,NL,Ron LeFlore,MONTREAL,97.0
1981,AL,Rickey Henderson,OAKLAND,56.0
1981,NL,Tim Raines,MONTREAL,71.0
1982,AL,Rickey Henderson,OAKLAND,130.0
1982,NL,Tim Raines,MONTREAL,78.0
1983,AL,Rickey Henderson,OAKLAND,108.0
1983,NL,Tim Raines,MONTREAL,90.0
1984,AL,Rickey Henderson,OAKLAND,66.0
1984,NL,Tim Raines,MONTREAL,75.0
1985,AL,Rickey Henderson,NEW YORK,80.0
1985,NL,Vince Coleman,ST. LOUIS,110.0
1986,AL,Rickey Henderson,NEW YORK,87.0
1986,NL,Vince Coleman,ST. LOUIS,107.0
1987,AL,Harold Reynolds,SEATTLE,60.0
1987,NL,Vince Coleman,ST. LOUIS,109.0
1988,AL,Rickey Henderson,NEW YORK,93.0
1988,NL,Vince Coleman,ST. LOUIS,81.0
1989,AL,Rickey Henderson,NEW YORK,77.0
1989,NL,Vince Coleman,ST. LOUIS,65.0
1990,AL,Rickey Henderson,OAKLAND,65.0
1990,NL,Vince Coleman,ST. LOUIS,77.0
1991,AL,Rickey Henderson,OAKLAND,58.0
1991,NL,Marquis Grissom,MONTREAL,76.0
1992,AL,Kenny Lofton,CLEVELAND,66.0
1992,NL,Marquis Grissom,MONTREAL,78.0
1993,AL,Kenny Lofton,CLEVELAND,70.0
1993,NL,Chuck Carr,FLORIDA,58.0
1994,AL,Kenny Lofton,CLEVELAND,60.0
1994,NL,Craig Biggio,HOUSTON,39.0
1995,AL,Kenny Lofton,CLEVELAND,54.0
1995,NL,Quilvio Veras,FLORIDA,56.0
1996,AL,Kenny Lofton,CLEVELAND,75.0
1996,NL,Eric Young,COLORADO,53.0
1997,AL,Brian Hunter,DETROIT,74.0
1997,NL,Tony Womack,PITTSBURGH,60.0
1998,AL,Rickey Henderson,OAKLAND,66.0
1998,NL,Tony Womack,PITTSBURGH,58.0
1999,AL,Brian Hunter,DETROIT,44.0
1999,NL,Tony Womack,ARIZONA,72.0
2000,AL,Johnny Damon,KANSAS CITY,46.0
2000,NL,Luis Castillo,FLORIDA,62.0
2001,AL,Ichiro Suzuki,SEATTLE,56.0
2001,NL,Juan Pierre,COLORADO,46.0
2002,AL,Alfonso Soriano,NEW YORK,41.0
2002,NL,Luis Castillo,FLORIDA,48.0
2003,AL,Carl Crawford,TAMPA BAY,55.0
2003,NL,Juan Pierre,FLORIDA,65.0
2004,AL,Carl Crawford,TAMPA BAY,59.0
2004,NL,Scott Podsednik,MILWAUKEE,70.0
2005,AL,Chone Figgins,LOS ANGELES,62.0
2005,NL,Jose Reyes,NEW YORK,60.0
2006,AL,Carl Crawford,TAMPA BAY,58.0
2006,NL,Jose Reyes,NEW YORK,64.0
2007,AL,Carl Crawford,TAMPA BAY,50.0
2007,NL,Jose Reyes,NEW YORK,78.0
2008,AL,Jacoby Ellsbury,BOSTON,50.0
2008,NL,Willy Taveras,COLORADO,68.0
2009,AL,Jacoby Ellsbury,BOSTON,70.0
2009,NL,Michael Bourn,HOUSTON,61.0
2010,AL,Juan Pierre,CHICAGO,68.0
2010,NL,Michael Bourn,HOUSTON,52.0
2011,AL,Coco Crisp,OAKLAND,49.0
2011,NL,Michael Bourn,ATLANTA,61.0
2012,AL,Mike Trout,LOS ANGELES,49.0
2012,NL,Everth Cabrera,SAN DIEGO,44.0
2013,AL,Jacoby Ellsbury,BOSTON,52.0
2013,NL,Eric Young Jr.,COLORADO,46.0
2014,AL,Jose Altuve,HOUSTON,56.0
2014,NL,Dee Strange-Gordon,LOS ANGELES,64.0
2015,AL,Jose Altuve,HOUSTON,38.0
2015,NL,Dee Strange-Gordon,MIAMI,58.0
2016,AL,Rajai Davis,CLEVELAND,43.0
2016,NL,Jonathan Villar,MILWAUKEE,62.0
2017,AL,Whit Merrifield,KANSAS CITY,34.0
2017,NL,Dee Strange-Gordon,MIAMI,60.0
2018,AL,Whit Merrifield,KANSAS CITY,45.0
2018,NL,Trea Turner,WASHINGTON,43.0
2019,AL,Mallex Smith,SEATTLE,46.0
2019,NL,Ronald Acuña Jr.,ATLANTA,37.0
2020,AL,Adalberto Mondesi,KANSAS CITY,24.0
2020,NL,Trevor Story,COLORADO,15.0
2021,AL,Whit Merrifield,KANSAS CITY,40.0
2021,NL,Trea Turner,LOS ANGELES,32.0
2022,AL,Jorge Mateo,BALTIMORE,35.0
2022,NL,Jon Berti,MIAMI,41.0
2023,AL,Esteury Ruiz,OAKLAND,67.0
2023,NL,Ronald Acuña Jr.,ATLANTA,73.0
2024,AL,José Caballero,TAMPA BAY,44.0
2024,NL,Elly De La Cruz,CINCINNATI,67.0
2025,AL,José Caballero,TAMPA BAY,25.0
2025,NL,Oneil Cruz,PITTSBURGH,25.0
